File,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllables Per Word,Personal Pronouns,Average Word Length
blackassign0001,44,6,0.759999985,0.070521862,17.632911392405063,22.566995768688294,16.079962864437345,8.974683544303797,160,709,1.8956276445698166,0,5.499294781382228
blackassign0002,66,31,0.360824739,0.095284872,21.35,32.51473477,21.545893909626724,12.725,331,1018,2.1719056974459723,0,6.060903732809431
blackassign0003,40,24,0.24999999609375007,0.081841432,21.63157894736842,42.58312020460358,25.68587966,13.719298245614034,333,782,2.445012787723785,0,6.881074168797954
blackassign0004,41,75,-0.293103446,0.1498708008399602,23.615384615384617,40.56847545219638,25.67354403,14.884615384615385,314,774,2.3268733850129197,0,6.649870801033591
blackassign0005,24,8,0.49999998437500054,0.07032967,19.35,32.30769230769231,20.663076923076925,11.375,147,455,2.1296703296703297,0,6.408791208791209
blackassign0006,90,27,0.5384615338593032,0.088301887,23.59550561797753,38.56603773584906,24.864617341530636,14.887640449438202,511,1325,2.2973584905660376,0,6.733584905660377
blackassign0007,32,71,-0.378640773,0.1182548793131402,19.605263157894736,31.802525832376578,20.563115596108528,11.460526315789474,277,871,2.0998851894374284,0,6.012629161882893
blackassign0008,32,9,0.560975596,0.068219634,18.770833333333332,44.09317803660566,25.145604547975598,12.520833333333334,265,601,2.454242928452579,0,6.8452579034941765
blackassign0009,44,51,-0.07368421,0.1256613754951569,19.310344827586206,43.12169312169312,24.97281517971173,13.03448275862069,326,756,2.4021164021164023,0,6.71957672
blackassign0010,146,181,-0.107033639,0.14650537627844742,17.451882845188283,39.560931899641574,22.805125897931944,9.338912133891213,883,2232,2.289426523297491,0,6.482526882
blackassign0011,65,20,0.5294117584775088,0.087001023,23.75,41.453428863868986,26.081371545547597,14.367647058823529,405,977,2.382804503582395,0,6.7717502558853635
blackassign0012,88,24,0.5714285663265307,0.10748560450337273,23.25,33.97312859884837,22.88925143953935,13.025,354,1042,2.2687140115163147,0,6.6238003838771595
blackassign0013,41,13,0.5185185089163239,0.1560693637107822,27.04,40.17341040462428,26.885364161849715,13.84,139,346,2.352601156069364,0,6.982658959537572
blackassign0014,25,27,-0.038461538,0.076023392,17.768115942028984,32.30994152046784,20.03122298499873,9.913043478,221,684,2.108187134502924,0,6.124269005847953
blackassign0015,44,27,0.23943661634596317,0.089084065,23.066666666666666,35.257214554579676,23.329552488498535,13.283333333333333,281,797,2.161856963613551,0,6.3500627352572145
blackassign0016,44,27,0.23943661634596317,0.089084065,23.066666666666666,35.257214554579676,23.329552488498535,13.283333333333333,281,797,2.161856963613551,0,6.3500627352572145
blackassign0017,56,12,0.647058814,0.089709762,20.23076923076923,35.09234828496042,22.129247006291862,11.661538461538461,266,758,2.1662269129287597,0,6.2071240105540895
blackassign0018,44,10,0.6296296179698219,0.074277854,27.266666666666666,33.97524071526822,24.496762952773956,16.155555555555555,247,727,2.152682255845942,0,6.270976616231087
blackassign0019,73,6,0.8481012550873259,0.07369403,20.395833333333332,38.33955223880597,23.494154228855724,11.166666666666666,411,1072,2.1865671641791047,0,6.298507462686567
blackassign0020,9,0,0.9999998888889013,0.032142857028061224,22.703703703703702,27.142857142857142,19.93862433862434,10.37037037037037,76,280,2.0464285714285713,0,5.921428571428572
blackassign0021,28,47,-0.25333333,0.11127596422659353,23.4,36.94362017804154,24.137448071216618,13.48,249,674,2.1617210682492582,0,6.229970326409496
blackassign0022,16,10,0.23076922189349144,0.11158798235369964,16.857142857142858,31.759656652360512,19.446719803801347,8.321428571428571,74,233,2.128755364806867,0,6.012875536480687
blackassign0023,44,16,0.46666665888888903,0.072463768,24.078125,26.69082125603865,20.30757850241546,12.9375,221,828,2.050724637681159,0,5.9106280193236715
blackassign0024,25,3,0.7857142576530622,0.075067024,30.714285714285715,31.63538873994638,24.93986978169284,17.761904761904763,118,373,2.069705094,0,5.970509383378016
blackassign0025,23,11,0.35294116608996573,0.054140127,45.23076923076923,23.56687898089172,27.519059284664383,24.153846153846153,148,628,1.8885350318471337,0,5.4665605095541405
blackassign0026,29,14,0.3488372011898325,0.069579288,24.428571428571427,30.582524271844658,22.004438280166436,14.714285714285714,189,618,2.0194174757281553,0,5.758899676375404
blackassign0027,43,26,0.24637680802352452,0.095172414,27.62962962962963,26.89655172413793,21.810472541507025,13.425925925925926,195,725,1.9020689655172414,0,5.517241379310345
blackassign0028,41,26,0.22388059367342397,0.094101123,31.725,31.03932584269663,25.105730337078654,17.8,221,712,2.067415730337079,0,6.165730337078652
blackassign0029,81,34,0.4086956486200378,0.092369478,26.22077922077922,35.74297189,24.78550044333177,16.16883116883117,445,1245,2.206425702811245,0,6.373493975903615
blackassign0030,71,38,0.3027522908004377,0.1308523407792889,20.395061728395063,26.410564225690276,18.722250381634137,10.283950617283951,220,833,1.9075630252100841,0,5.345738295318127
blackassign0031,74,38,0.3214285685586735,0.10313075496949285,22.41860465116279,35.08287293,23.000591031735837,12.627906976744185,381,1086,2.2099447513812156,0,6.269797421731123
blackassign0032,86,28,0.5087719253616498,0.12582781443065363,19.197916666666668,25.82781456953642,18.010292494481234,9.4375,234,906,1.9415011037527594,0,5.589403973509934
blackassign0033,69,27,0.4374999954427084,0.090823084,24.85,29.80132450331126,21.860529801324503,13.2125,315,1057,2.0151371807000946,0,5.8590350047303685
blackassign0034,57,23,0.4249999946875001,0.10269576366791301,23.107692307692307,28.626444159178433,20.693654586748295,11.984615384615385,223,779,1.9897304236200257,0,5.661103979460847
blackassign0035,29,12,0.4146341362284357,0.088172043,18.5,31.61290322580645,20.045161290322582,10.108695652173912,147,465,2.0172043010752687,0,5.630107527
blackassign0036,0,0,0,0,7,0,2.8000000000000003,5,0,5,1.2,0,5.2
blackassign0037,44,13,0.5438596395814098,0.13194444413901749,22.405405405405407,23.14814814814815,18.22142142142142,11.675675675675675,100,432,1.8541666666666667,0,5.597222222222222
blackassign0038,80,41,0.3223140469230244,0.096877502,29.56097561,29.86389111289031,23.769946689058568,15.231707317073171,373,1249,2.0296236989591674,0,5.767013610888711
blackassign0039,63,68,-0.038167939,0.094109195,22.914285714285715,25,19.165714285714284,13.257142857142858,348,1392,1.9173850574712643,0,5.310344827586207
blackassign0040,47,22,0.36231883532871256,0.093369418,22.440677966101696,38.02435723951286,24.186014082245823,12.525423728813559,281,739,2.2719891745602165,0,6.617050067658998
blackassign0041,42,29,0.18309858897044243,0.086903305,17.301204819277107,27.294981640146883,17.838474583769596,9.843373493975903,223,817,1.9277845777233782,0,5.463892288861689
blackassign0042,75,24,0.5151515099479645,0.11757719701000333,28.90625,33.37292162,24.911668646080763,13.15625,281,842,2.1935866983372923,0,6.257719715
blackassign0043,83,24,0.5514018640055901,0.10368217044216843,22.650602409638555,28.391472868217054,20.416830111142247,12.433734939759036,293,1032,2.002906976744186,0,5.713178294573644
blackassign0044,28,0,0.9999999642857155,0.083832335,24.91304347826087,34.13173652694611,23.617912002082797,14.521739130434783,114,334,2.191616766467066,0,6.326347305389222
blackassign0045,104,39,0.454545451,0.17481662570315815,190.4,31.05134474327628,88.58053789731052,81.8,254,818,2.0904645476772616,0,6.4156479217603914
blackassign0046,35,0,0.9999999714285723,0.058626465563439756,19.428571428571427,33.33333333333333,21.104761904761904,10.660714285714286,199,597,2.046901172529313,0,5.922948073701843
blackassign0047,15,6,0.4285714081632663,0.044025157,20.170731707317074,38.36477987421384,23.414204632612368,11.634146341463415,183,477,2.243186582809224,0,6.383647798742138
blackassign0048,5,4,0.11111109876543349,0.046874999755859376,28.23076923076923,34.89583333333333,25.250641025641023,14.76923076923077,67,192,2.2083333333333335,0,6.072916666666667
